"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"603147","14076.227098","192.168.1.37","160.79.104.10","51031","443","TCP","54","5266","51031  >  443 [ACK] Seq=518 Ack=2857 Win=65280 Len=0"
"603150","14076.235876","192.168.1.37","160.79.104.10","51031","443","TLSv1.3","134","5266","Change Cipher Spec, Application Data"
"603151","14076.237134","192.168.1.37","160.79.104.10","51031","443","TLSv1.3","727","5266","Application Data"
"603152","14076.239687","192.168.1.37","160.79.104.10","51031","443","TLSv1.3","367","5266","Application Data"
"603155","14076.243335","160.79.104.10","192.168.1.37","443","51031","TCP","60","5266","443  >  51031 [ACK] Seq=2857 Ack=1271 Win=73728 Len=0"
"603160","14076.286835","160.79.104.10","192.168.1.37","443","51031","TCP","60","5266","443  >  51031 [ACK] Seq=2857 Ack=1584 Win=73728 Len=0"
"603274","14079.743315","160.79.104.10","192.168.1.37","443","51031","TLSv1.3","1506","5266","Application Data"
"603275","14079.743315","160.79.104.10","192.168.1.37","443","51031","TLSv1.3","125","5266","Application Data"
"603276","14079.743315","160.79.104.10","192.168.1.37","443","51031","TLSv1.3","559","5266","Application Data"
"603277","14079.743315","160.79.104.10","192.168.1.37","443","51031","TLSv1.3","81","5266","Application Data"
"603278","14079.743390","192.168.1.37","160.79.104.10","51031","443","TCP","54","5266","51031  >  443 [ACK] Seq=1584 Ack=4912 Win=65280 Len=0"
"603564","14089.765689","192.168.1.37","160.79.104.10","51031","443","TCP","54","5266","51031  >  443 [FIN, ACK] Seq=1584 Ack=4912 Win=65280 Len=0"
"603566","14089.771993","192.168.1.37","160.79.104.10","51040","443","TCP","66","5274","51040  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"603567","14089.772804","160.79.104.10","192.168.1.37","443","51031","TCP","60","5266","443  >  51031 [FIN, ACK] Seq=4912 Ack=1585 Win=73728 Len=0"
"603568","14089.772839","192.168.1.37","160.79.104.10","51031","443","TCP","54","5266","51031  >  443 [ACK] Seq=1585 Ack=4913 Win=65280 Len=0"
"603569","14089.778845","160.79.104.10","192.168.1.37","443","51040","TCP","66","5274","443  >  51040 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=8192"
"603570","14089.778988","192.168.1.37","160.79.104.10","51040","443","TCP","54","5274","51040  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"603571","14089.779487","192.168.1.37","160.79.104.10","51040","443","TLSv1.3","571","5274","Client Hello (SNI=api.anthropic.com)"
"603572","14089.786827","160.79.104.10","192.168.1.37","443","51040","TCP","60","5274","443  >  51040 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"603573","14089.789411","160.79.104.10","192.168.1.37","443","51040","TLSv1.3","1506","5274","Server Hello, Change Cipher Spec"
"603574","14089.789411","160.79.104.10","192.168.1.37","443","51040","TLSv1.3","1459","5274","Application Data"
"603575","14089.789457","192.168.1.37","160.79.104.10","51040","443","TCP","54","5274","51040  >  443 [ACK] Seq=518 Ack=2858 Win=65280 Len=0"
"603576","14089.791017","192.168.1.37","160.79.104.10","51040","443","TLSv1.3","134","5274","Change Cipher Spec, Application Data"
"603577","14089.791687","192.168.1.37","160.79.104.10","51040","443","TLSv1.3","727","5274","Application Data"
"603578","14089.792005","192.168.1.37","160.79.104.10","51040","443","TLSv1.3","537","5274","Application Data"
